ich	I
entzünden	ignite
Witwer	widower
Identifizierung	identification
Versetzung	transfer
verleugnen	deny
Reparatur	repair
erhängen	hang
mexikanisch	Mexican
Funkkontakt	radio contact
Waschmaschine	washing machine
Pakistan	Pakistan
Schaum	foam
Sponsor	sponsor
qualifizieren	qualify
Klarheit	clarity
definieren	define
jämmerlich	pathetic; miserably
Logo	logo; duh (coll)
Pasta	pasta
Abtreibung	abortion
Limit	limit
örtlich	locally; local
abseits	apart
Ausstattung	equipment
beieinander	together
Samstagabend	Saturday night
Ruine	ruin
auffällig	conspicuous; conspicuously
Loge	box, lodge
Zusammenbruch	collapse
Ablauf	procedure, expiration
Getue	fuss (coll)
abfinden	pay off; accept
brummen	mutter; hum
Makler	broker
miserabel	miserable; miserably
nicken	nod
Lehrer	teacher
sprachlos	speechless; speechlessly
durchqueren	cross
Hochzeitsgeschenk	wedding present
Mucks	*sound (coll)
erleuchten	light (up)
Weilchen	(little) while
anschließend	subsequently; subsequent
winken	wave
Wartezeit	waiting period
Fahndung	Manhunt
involvieren	to involve
enthüllen	reveal
immun	immune
verkraften	cope with
Alarmbereitschaft	Alert
Auftritt	Appearance
teils	part
Darm	Intestines
Aufschrei	Outcry
Nippel	nipple
repräsentieren	represent
armselig	pathetic
ordnen	organize
silbern	silver
Tyrann	bully
austricksen	trick
Vormund	Legal guardian
ungezogen	naughty
Ausführung	execution
Honorar	fee
einheimisch	indigenous
Glöckchen	Bells
verschlagen	devious
Pelz	fur
wegschicken	send away
erfrischend	refreshing
imitieren	imitate
gewaltsam	forcibly
Marionette	Puppet
Bestechung	bribery
vorenthalten	withheld
Regime	regime
Lachs	salmon
überholt	obsolete
Schotte	Bulkheads
Eintopf	stew
verpacken	pack
unbedeutend	insignificant
Gratulation	Congratulations
Befugnis	Authority
irritieren	irritate
einleiten	initiate
Farce	farce
ungeachtet	regardless
Turm	tower
breiten	broad
Unterhalt	Entertains
Blutvergießen	bloodshed
Bürgersteig	sidewalk
Getriebe	transmission
Wahrnehmung	perception
Einzelhaft	Solitary confinement
Schi	ski
Entschlossenheit	determination
Kopfgeld	Bounty
Verurteilung	Condemnation
homosexuell	homosexual
Prostitution	prostitution
dermaßen	so
Wohnheim	Dorm
Molekül	molecule
Serum	serum
ausüben	exercise
Aufwand	expenditure
hetzen	rush
seekrank	seasick
vereinbaren	arrange
abschlachten	slaughter
Pointe	Punchline
ungültig	invalid
abwärts	down
Bademantel	bathrobe
inszenieren	stage
machbar	makeable
kreativ	creative
Paragraph	paragraph
kosmisch	cosmic
Offizier	officer
beantragen	apply for
Neuseeland	New Zealand
buchstabieren	spell
zweihundert	two hundred
ehrenwert	honorable
Pickel	Pimples
nebeneinander	side by side
Bäcker	baker
Einklang	Unison
Büchse	rifle
mager	skinny
hocken	squat
verklemmen	jam
Rektor	Rector
anstarren	stare at
Lebensgefahr	risk of death
unverzeihlich	unforgivable
protestieren	protest
berechtigen	entitle
bestürzen	dismay
Alligator	alligator
Schwergewicht	Heavyweight
maximal	maximum
beispielsweise	for example
Barbier	barber
Stamm	tribe
bedauerlicherweise	regrettably
Lehrling	apprentice
Tanne	fir
Kran	crane
kreuzigen	crucify
teilhaben	participate
verhauen	beat up
lachend	laughing
großziehen	raise
Belästigung	harassment
kommunistisch	Communist
Kollektion	collection
aktuell	current
Selbstzerstörung	Selfdestruction
Vorgänger	predecessor
Schlagzeug	Drums
Öffnung	opening
Horde	horde
untereinander	among themselves
erwerben	acquire
bestreiten	deny
vernachlässigen	to neglect
Porträt	portrait
Pöbel	mob
spendieren	donate
hineingehen	go inside
Patsche	Slap
unvermeidlich	inevitable
lebhaft	lively
rücksichtslos	inconsiderate
anerkennen	recognize
durchdenken	think through
erzielen	achieve
Kamel	camel
Mäuschen	Mice
Karussell	carousel
andeuten	imply
bösartig	vicious
zehnmal	ten times
hastig	hastily
Erlöser	Redeemer
Elch	Moose
versöhnen	reconcile
hohl	hollow
abbrennen	burn down
sechzehn	sixteen
(he)rumstehen	(he) standing around
via	via
ausrüsten	equip
staatlich	state
Arche	ark
Mücke	mosquito
Verwandlung	transformation
Knaller	Blast
ununterbrochen	continuously
krepieren	to die
telefonisch	by phone
absitzen	dismount
abriegeln	cordon off
Wiederholung	Repetition
stottern	stutter
Landkarte	map
ungefährlich	harmless
Einigung	agreement
versperren	block
schmoren	stew
Demo	demo
sowjetisch	Soviet
Yoga	yoga
circa	approximately
israelisch	Israeli
Superheld	superhero
offensiv	offensive
zusammenbrechen	to collapse
zurücknehmen	take back
einjagen	chase in
Reklame	Advertising
hochkommen	getting high
Beil	ax
inoffiziell	unofficially
hergeben	give away
Playboy	playboy
Ruin	ruin
obendrein	on top of that
Trauung	wedding
launisch	moody
Treppenhaus	Stairwell
Anfall	Seizure
sausen	whiz
feierlich	solemnly
grässlich	horrible
Entspannung	Relaxation
rasten	rest
ergehen	endure
teuflisch	devilish
erniedrigen	humiliate
verstummen	fall silent
behindern	hinder
(he)rausnehmen	(remove
Versprechung	promise
Spesen	Expenses
geschmacklos	tasteless
Gruft	Crypt
achtzehn	eighteen
Internat	Boarding school
ausgraben	dig out
Angsthase	Scaredy rabbit
unpassend	inappropriate
Bündnis	alliance
Jackpot	jackpot
irrelevant	irrelevant
Migräne	migraine
Schmerzmittel	Painkiller
Drehort	Location
dreieinhalb	three and a half
Verlag	publishing company
abdrehen	turn off
Todesangst	Fear of death
Gebüsch	bushes
klammern	cling
ertappen	catch
einwandfrei	perfect
wiedererkennen	recognize
demnach	therefore
beschimpfen	insult
psychologisch	psychologically
Ausbilder	instructor
anklopfen	knock
insgeheim	secretly
Motor	engine
Klammer	Bracket
plädieren	to plead
abschlagen	knock off
abfangen	intercept
Schimpanse	chimpanzee
vergewissern	make sure
traben	trot
Unkraut	weed
berücksichtigen	consider
Hackfleisch	Minced meat
Waggon	wagon
Bäckerei	bakery
zelten	camp
Cello	cello
Automatik	Automatic
bergen	to recover
Favorit	favourite
ausschneiden	cut out
besichtigen	visit
vorbeigehen	pass
Anstrengung	effort
objektiv	lens
Zauberstab	Magic wand
Ausschnitt	Cutout
exzentrisch	eccentric
Baustelle	construction site
Eintrag	entry
traditionell	traditional
Kerker	Dungeon
Heft	notebook
grollen	rumble
autorisieren	authorize
Großeltern	Grandparents
Durchfall	diarrhea
spezial	special
fehlend	missing
Luftraum	airspace
Infektion	infection
anschlagen	attacks
Tresen	counter
rau	rough
zusammenkommen	getting together
bleich	pale
Begierde	desire
bedrohlich	threatening
ausverkaufen	sell out
Denkmal	monument
unmenschlich	inhuman
Blickwinkel	Point of view
Vers	verse
aufkommen	come up
futsch	gone
anmerken	to note
Ensemble	ensemble
Urteilsvermögen	discernment
Mithilfe	Help
Wichtigkeit	importance
Mast	mast
überreichen	hand over
offenbaren	reveal
pennen	sleep
Eintrittskarte	Admission ticket
Ansprache	speech
Hochstapler	Impostor
Wirtshaus	Public house
anführen	to lead
Spatz	sparrow
beleidigend	offensive
rasend	furious
Vorstellungskraft	Imagination
unangebracht	inappropriate
Verbesserung	improvement
zurückhaben	have back
Hinterzimmer	Back room
Abdruck	Imprint
Privilegium	Privilege
Venezuela	Venezuela
Puzzle	puzzle
beistehen	assist
Aufbau	construction
herausfordern	challenge
Showbusiness	show business
herausholen	get out
Schminke	Make up
intellektuell	intellectually
Rückstand	Residue
gescheit	clever
Rekrut	recruit
absperren	shut off
obdachlos	homeless
Ständer	Stand
Fachmann	Professional
Röhre	tube
nötigen	to necessitate
Torpedo	torpedo
schminken	makeup
Abwurf	Release
Finanzierung	financing
Falke	Falcon
Meister	master
Islam	Islam
Mordwaffe	Murder weapon
Vorstellungsgespräch	job interview
Allianz	alliance
Beihilfe	Aid
entschlüsseln	decrypt
vorbestraft	criminal record
(he)reinstecken	(he) stick in
blenden	dazzle
hörgeschädigt	hearing impaired
unfreundlich	unfriendly
eisern	iron
Schaffner	conductor
Zügel	Reins
missachten	disregard
Wahnvorstellung	Delusion
manuell	manually
zerschmettern	shatter
Polizeirevier	Police station
ausreichen	sufficient
ungelegen	inconvenient
entbehren	do without
allesamt	all of them
ausnahmsweise	exceptionally
zynisch	cynical
Beschluss	decision
Subjekt	subject
toben	romp
Kreuzfahrt	cruise
abergläubisch	superstitious
dröhnen	roar
spurlos	without a trace
Großzügigkeit	generosity
überallhin	everywhere
ungeeignet	not suitable
beheben	remedy
Gelübde	vow
verkrampfen	cramp
verbittert	bitter
heften	staple
zufälligerweise	coincidentally
standhalten	withstand
antik	antique
verschreiben	prescribe
Rasse	race
beibehalten	maintained
Qualität	quality
kaputtmachen	break something
Einschätzung	assessment
hunderttausend	hundred thousand
Zeitraum	Period
Vorstrafe	Criminal record
beklauen	steal
Ukraine	Ukraine
Brenner	burner
Demonstrant	Protester
Toaster	Toaster
Atom	atom
Finanzamt	Tax office
lauern	lurk
ertränken	drown
gewillt	willing
meckern	gripe
beisammen	together
Langweiler	Boring
kneifen	pinch
Jaguar	jaguar
Stinktier	skunk
Widerrede	Contradiction
Begnadigung	pardon
Zeitlang	For a while
spuken	haunt
Säule	pillar
Aufschub	Postponement
Ansatz	approach
Kerbe	score
zufügen	add
besteigen	climb
umhauen	blow away
durchsetzen	push through
Amnesie	amnesia
behüten	watch over
weiterziehen	move on
andersrum	the other way around
Redakteur	editor
Exekution	execution
Auffassung	Conception
beunruhigend	unsettling
Abrechnung	Billing
gegenwärtig	currently
Söhnchen	Son
Erschöpfung	exhaustion
irisch	Irish
auffliegen	blow up
irdisch	earthly
kooperativ	cooperative
aufheitern	cheer
dreifach	triple
Individuum	individual
unerreichbar	unreachable
Wiedergeburt	Rebirth
anheben	raise
Einzelgänger	loner
samstags	Saturdays
verringern	reduce
bowlen	bowl
Währung	currency
joggen	to jog
Klebeband	duct tape
Biker	Bikers
Bohrer	drill
Klon	clone
schwänzen	truant
Drucker	printer
Krönung	coronation
erfreulich	enjoyable
Schlitz	slot
Trümmer	debris
Henker	hangman
Taille	waist
Fass	barrel
geizig	stingy
eitel	vain
aufmuntern	cheer up
Zimmermädchen	Housekeeping
Buchhandlung	Bookstore
ebenbürtig	equal
Trophäe	trophy
ausbrennen	burn out
Abbild	image
Türglocke	Doorbell
verspielen	gamble away
Kanalisation	Sewerage
derartig	such
lausig	lousy
Karo	Diamonds
herzlos	heartless
ermutigen	encourage
Zweig	branch
Kaktus	cactus
Ankündigung	announcement
widerfahren	happened
Gemahl	husband
Vanille	vanilla
Gliedmaße	Limb
Stiel	stalk
Einfall	incidence
Infarkt	Infarct
Gage	Fee
Herstellung	Manufacturing
Handwerker	Craftsman
Todesfall	Death
unwürdig	unworthy
Schuster	Cobbler
Lagerraum	storage room
Match	match
beeinträchtigen	affect
Umfang	scope
zerlegen	disassemble
Messer	knife
Hochschule	University
Funkspruch	Radio message
Anleitung	manual
Garnele	shrimp
mittels	by means of
Eistee	Icetea
Kugelschreiber	pen
Leuchtturm	lighthouse
abwischen	wipe off
vortäuschen	to pretend
Spekulation	speculation
Hinterhof	backyard
Potenzial	potential
Reue	Repentance
bewohnen	occupancy
hasten	rush
Würgen	choke
sonderlich	particularly
zurückbekommen	get back
gnadenlos	merciless
verschwimmen	blur
Genesung	recovery
geehrt	honored
Schwarm	swarm
Generaldirektor	General Director
Brutalität	brutality
vorspielen	pretend
unanständig	indecent
Orchidee	orchid
Gläschen	Glass
eingeboren	native
Marmor	marble
Detektiv	detective
Tanzfläche	dance floor
Portugal	Portugal
Logbuch	logbook
überglücklich	overjoyed
Übernahme	takeover
unschlagbar	unbeatable
altern	aging
stellvertretend	representative
Engelchen	little angel
Geschäftsreise	Business trip
koscher	kosher
Schwertkämpfer	Swordsman
Rotwein	red wine
Kompromiss	Compromise
selbstsüchtig	selfish
Genugtuung	satisfaction
zertrümmern	smash
Lagerfeuer	Campfire
übertreffen	surpass
Damentoilette	Ladies room
Kork	cork
Ausblick	outlook
Ohrfeige	Slap
rammen	ram
Staatsbürger	citizen
lau	lukewarm
Schokoriegel	chocolate bar
konstruieren	to construct
Differenz	difference
Regenmantel	a raincoat
verständigen	communicate
auffressen	eat up
abwesend	absent
Prämie	bonus
Wendung	turn
erkundigen	inquire
Ersatzteil	Spare part
Zugführer	Platoon leader
Manipulation	manipulation
Expert	Expert
Vorsitz	Chair
Jüngling	youth
wahrnehmen	perceive
Staubsauger	vacuum cleaner
relevant	relevant
entschärfen	defuse
Morddezernat	Homicide Squad
Klopapier	toilet paper
trollen	troll
Gutschein	Voucher
Drogenhandel	Drug trafficking
Intensivstation	Intensive care unit
Delphin	dolphin
deaktivieren	deactivate
Lotterie	lottery
Verteidigungsministerium	Ministry of Defense
aufdringlich	intrusive
Elektriker	electrician
senil	senile
fallenlassen	drop
Säge	saw
Mahl	meal
Spott	Ridicule
Gefäß	vessel
kidnappen	kidnap
ausbreiten	spread
niesen	sneeze
Kommode	Dresser
verschenken	give away
Trance	trance
Auseinandersetzung	confrontation
untersagen	prohibit
Order	order
Fähnrich	Ensign
Mitgift	dowry
spotten	mock
Demütigung	humiliation
halbwegs	halfway
ungünstig	unfavorable
seinetwegen	because of him
überlegt	considered
Westküste	West Coast
betreffend	concerning
Trauzeuge	Best man
Prügelei	Brawl
Flugbahn	Trajectory
zubereiten	prepare
vollmachen	make full
ordern	order
Stellungnahme	opinion
Brille	glasses
gefangen	captured
neutral	neutral
massiv	solid
aufladen	charge
Banküberfall	Bank robbery
Lebensweise	Way of life
Heuchelei	hypocrisy
weit hergeholt	farfetched
krampfen	cramp
unmittelbar	right away
Flugblatt	Leaflet
Hinterwäldler	hillbilly
revolutionär	revolutionary
Glühbirne	Lightbulb
Salbe	ointment
Kante	Edge
ungesund	unhealthy
siamesisch	Siamese
Einrichtung	Facility
Epidemie	epidemic
Konstruktion	construction
Bruchteil	Fraction
nervig	annoying
Alphabet	alphabet
Zielperson	Target person
Maskottchen	mascot
Sexualität	sexuality
Junkie	junkie
Fete	Party
Auflösung	resolution
eigenhändig	by hand
verbluten	bleed to death
vorsingen	sing aloud
Topf	pot
überschätzen	overestimate
Tochter	daughter
verwüsten	devastate
Swimmingpool	Swimming pool
Bauchschmerz	Stomach ache
schlapp	limp
regelrecht	downright
brühen	brew
Balkan	Balkans
Wiederfinden	Recovery
schamlos	shameless
Komponist	composer
blamieren	to embarrass
zusammenreißen	stay calm
Karneval	carnival
Abteil	compartment
Hintereingang	Back entrance
ungläubig	incredulously
Flegel	Flail
unverletzt	unharmed
Laus	louse
Postbote	post man
augenblicklich	instantly
Denker	thinker
Befriedigung	satisfaction
abkühlen	cooling down
verständnisvoll	understanding
Vorahnung	Premonition
reimen	rhyme
glänzen	shine
verschicken	send
Herausforderer	challenger
fälschen	counterfeit
Motivation	motivation
Möwe	gull
recherchieren	do research
bewerben	apply
Wohnsitz	residence
steil	steep
traumhaft	gorgeous
grotesk	grotesque
(he)reinbringen	(he) bring in
furchtlos	fearless
taufen	to baptize
Fanatiker	fanatic
spezialisieren	specialize
Fusion	fusion
effizient	efficient
Vorort	On site
absteigen	descend
Weißwein	White wine
flattern	flutter
pensionieren	retire
hämmern	hammer
vorzüglich	excellent
auffordern	prompt
Duo	duo
Röntgen	roentgen
miauen	meow
durchfallen	fall through
größtenteils	Mostly
Erneuerung	renovation
Sicherheitschef	Security chief
Beweismittel	Evidence
Simulation	simulation
Umfrage	survey
versinken	sink in
straff	tight
Kavalier	cavalier
kühn	bold
Tätigkeit	activity
Geländer	railing
allemal	always
schnupfen	sniff
weiterarbeiten	keep working
Umlauf	Circulation
eintauschen	exchange
schäbig	shabby
zehntausend	ten thousand
Gehaltserhöhung	Raise
Einführung	introduction
einigen	some
verhelfen	help
wegbleiben	stay away
gleichmäßig	evenly
Hypothese	hypothesis
fromm	religious
verkuppeln	couple
verbeugen	bow down
überspringen	skip
bemitleiden	pity
Bauernhof	farm
Achterbahn	Roller coaster
Abmarsch	March off
Frist	Deadline
Residenz	residence
werben	advertise
mausetot	mouse dead
aufwühlen	stir up
Dünger	fertilizer
aufsitzen	sit up
einspringen	step in
Klumpen	Lump
lauschen	listen
sinnvoll	makes sense
übergehen	pass over
erlernen	learn
Zahlung	payment
vermöbeln	beat up
vorig	previous
untertauchen	submerge
erwidern	reply
Geheimagent	Secret agent
Jahrmarkt	Fair
zucken	pull out
Sarg	coffin
surren	whir
Photo	photo
poetisch	poetic
lebensmüde	tired of life
Marathon	marathon
Reflex	reflex
Durchmesser	diameter
Vermächtnis	legacy
Verzug	Default
sprühen	spray
dummerweise	stupidly
erbrechen	vomit
(he)rausziehen	(pull out
misshandeln	mistreat
Ablehnung	Rejection
Mayonnaise	mayonnaise
Struktur	structure
Rassist	racist
konfrontieren	confront
flippen	freak out
Plankton	plankton
Anpassung	Adaptation
Gästezimmer	Guest room
rummachen	to make out
Härte	hardness
Blasphemie	blasphemy
Einfluss	influence
bestehlen	steal from
lasten	burdens
Format	format
nobel	Nobel
vorrücken	advance
verdrängen	displace
Autodiebstahl	Car theft
standhaft	steadfast
grundsätzlich	basically
Injektion	injection
verschleppen	procrastinate
überblicken	overlook
Helm	helmet
strafbar	punishable
Taugenichts	Goodfornothing
nachweisen	prove
hintergehen	cheat
Arbeitslosigkeit	unemployment
Buchladen	Bookstore
anfertigen	make
bewältigen	deal with
Empfänger	receiver
Füller	ink pen
renovieren	renovate
Bahnsteig	platform
bewundernswert	admirable
überarbeiten	revise
vulgär	vulgar
wegziehen	move away
Adaption	Adaptation
aufrufen	call
ackern	plow
erneuern	renew
erläutern	explain
Blockade	blockade
Vagabund	rover
abliefern	deliver
Reisende	traveler
Maximum	maximum
vorliegen	are present
Schwätzer	Babbler
Erholung	recreation
Großstadt	Big city
heimfahren	drive home
spalten	columns
ablösen	peel off
ärztlich	medical
denkbar	conceivable
Hausmädchen	Housemaid
überweisen	transfer
erkunden	explore
Knöpfchen	Button
Mythologie	mythology
jaulen	howl
Schießpulver	Gunpowder
überziehen	overlay
Ohrring	Earring
verkörpern	embody
Puder	powder
undeutlich	indistinct
anschreien	shout at
Verdienst	Merit
dumpf	dull
Markierung	mark
instabil	unstable
Erniedrigung	Humiliation
Hebamme	midwife
Fegefeuer	purgatory
nachhause	home
Knochenmark	Bone marrow
Fehlfunktion	Malfunction
Sicherheitssystem	security system
Sabbat	Sabbath
Geldstrafe	Fine
befallen	infested
gestrig	yesterday
impulsiv	impulsive
Tramp	tramp
Zimmermann	Carpenter
sensationell	sensational
zusammenziehen	pull together
hinbekommen	get it
Pein	Pain
hiesig	local
Skala	scale
schmerzlos	painless
Ozean	ocean
hypnotisieren	hypnotize
brandneu	brand new
erstklassig	top notch
gesetzlich	legally
Beschäftigung	employment
Gasthaus	Inn
verseuchen	contaminate
divers	diverse
Pantoffel	slipper
Maniküre	manicure
fruchtbar	fruitful
glorreich	glorious
Verschwörer	Conspirators
Kreuzer	cruiser
Laufbahn	career
erlassen	enact
Schlussfolgerung	conclusion
bedecken	cover
mühsam	laborious
Mix	Mix
lüften	ventilate
bevorstehen	imminent
klimpern	strum
obgleich	although
Poet	poet
musikalisch	musically
aufbringen	raise
mixen	mix
wickeln	wrap
empor	up
wackeln	wiggle
Schriftrolle	Scroll
sagenhaft	fabulous
vielversprechend	very promising
unzuverlässig	unreliable
Piano	piano
Wappen	coat of arms
vernehmen	hear
zerstückeln	dismember
Schauplatz	Location
gefühllos	callous
ausschlafen	sleep in
Plasma	plasma
Scherbe	shard
Lösung	solution
dürr	dry
bisherig	previously
umschalten	switch
kopfüber	upside down
Fäulnis	Putrefaction
rumpeln	rumble
wandeln	walk
winseln	whine
Kapitalismus	capitalism
makellos	flawless
grundlegend	fundamental
Mundgeruch	Bad breath
Filmmaterial	Footage
Kassette	cassette
stabilisieren	stabilize
Kolumbien	Colombia
genaugenommen	strictly speaking
unterirdisch	underground
einschreiben	enroll
entehren	dishonor
Traktor	tractor
verblüffen	amaze
Stich	Sting
haufenweise	heaps of it
überlisten	outsmart
Punsch	Punch
Kabinett	cabinet
Gleichgültigkeit	indifference
flüssig	liquid
heikel	tricky
Entstehung	Emergence
Ausstrahlung	Charisma
künstlerisch	artistic
Vorgehensweise	method
ergreifend	poignant
subtil	subtle
Tausender	Thousands
rechtmäßig	lawful
vollziehen	carry out
Schlächter	Butcher
unvernünftig	unreasonable
Ade	Goodbye
Apfelkuchen	Apple Cake
christlich	Christian
Fundament	foundation
vorderer	front
plündern	plunder
Geleit	Escort
dreist	brazen
kapitulieren	capitulate
Behauptung	claim
unterhaltsam	entertaining
Filiale	branch
Handlanger	Henchman
bizarr	bizarre
Luftangriff	Air raid
Übersetzer	translator
Imbiss	snack
Offenheit	openness
Rippchen	Ribs
gläubig	believing
Kies	gravel
Stichwort	keyword
kahl	bald
durchstehen	get through
schlampig	sloppy
belegen	occupy
Abitur	High School
Posaune	trombone
Instruktion	instruction
schildern	describe
Spitzel	Spies
bezwingen	conquer
(he)rumliegen	(he) lying around
Kraut	herb
Karawane	caravan
ausstrecken	stretch out
Klischee	cliche
erlegen	shoot
spirituell	spiritually
hinhalten	hold out
aussichtslos	hopeless
Anziehungskraft	Attraction
gelehrt	taught
Genfer	Geneva
allerbeste	very best
Schwarzmarkt	Black market
Erschaffung	creation
Skalpell	scalpel
Anrufer	caller
psychiatrisch	psychiatric
ungarisch	Hungarian
Kelch	Chalice
verstümmeln	mutilate
unreif	immature
aufdecken	discover
Narkose	anesthesia
hineinziehen	involve
ledig	single
Kurzschluss	Short circuit
Gefolge	entourage
Kittel	Smock
indisch	Indian
Katholik	Catholic
Zensur	censorship
Schraubenzieher	screwdriver
Foul	foul
Krampf	Cramp
Balg	bellows
Jahrzehnt	decade
abartig	abnormal
Freiraum	free space
Artefakt	artifact
zugänglich	accessible
Gesundheitsamt	Health department
Miene	expression
Idol	idol
abstreiten	deny
beschmutzen	to pollute
Zugabe	Encore
stürmisch	stormy
nachsichtig	indulgent
kultivieren	cultivate
heimkommen	come home
nachlässig	careless
anziehend	attractive
überfluten	flood
Abstammung	ancestry
praktizieren	practice
aufgreifen	pick up
Korsett	corset
anfragen	Requests
verheilen	heal
vertagen	adjourn
Rindfleisch	beef
Staatssekretär	State Secretary
Tollwut	rabies
Erfrischung	refreshment
Apostel	apostle
spionieren	spy
verwirklichen	realize
montags	on Monday
freitags	friday
erwünscht	he wishes
handhaben	handle
Auflage	Edition
abladen	unload
Inspektion	inspection
gutaussehend	good looking
fünfmal	five times
überfordern	overwhelm
schleudern	fling
Vermieter	landlord
Verpflegung	Catering
exotisch	exotic
Vorkehrung	precaution
zweifelsohne	without a doubt
Rasiermesser	razor
aufschlagen	crack open
Geheimhaltung	confidentiality
Umkleideraum	Changing room
Reiseführer	travel Guide
vorlegen	submit
heizen	heat
eindrucksvoll	impressively
Raumschiff	Spaceship
verlässlich	reliable
Sekte	sect
ansteigen	increase
haargenau	exactly
authentisch	authentic
sommers	summer
gültig	valid
Einwanderungsbehörde	Immigration service
Knüppel	stick
runterholen	jerk off
Ernährung	nutrition
Haltestelle	bus stop
stramm	tight
Arbeiter	Workers
entschließen	decide
Delle	Dent
Kontaktlinse	Contact lens
Curry	curry
Abbruch	cancellation
Taiwan	Taiwan
intim	intimate
schmeichelhaft	flattering
Toilettenpapier	Toilet paper
Bezeichnung	description
erhaben	sublime
uralt	ancient
zerstreuen	disperse
Weihnachtsbaum	Christmas tree
Vorliebe	preference
Eroberung	conquest
Beratung	consultation
sparsam	economical
Faulpelz	Lazy
heimbringen	bring home
afrikanisch	African
Gurke	cucumber
Enthusiasmus	enthusiasm
unnatürlich	unnatural
Rivale	rival
prägen	shape
Steinbruch	Quarry
wegfliegen	fly away
legendär	legendary
erniedrigend	humiliating
Falschgeld	Counterfeit money
aufkreuzen	show up
beschwören	conjure up
nominieren	nominate
Knacker	Geezer
hundertmal	a hundred times
vorgeben	pretend
Kanne	Jug
lieblich	lovely
widerwärtig	disgusting
Pyramide	pyramid
aufschneiden	cut open
hundertprozentig	one hundred percent
knallhart	tough
höchstwahrscheinlich	most likely
bestenfalls	at best
Spielplatz	playground
Plakat	poster
drängeln	jostle
Angriff	attack
einweisen	instruct
unbezahlbar	priceless
zerren	tug
übersteigen	exceed
einlösen	redeem
Wucht	Stunner
Fluchtweg	escape route
Isolation	isolation
Toleranz	tolerance
inakzeptabel	unacceptable
Übersee	Overseas
Libanon	Lebanon
entladen	unload
Grundsatz	principle
unberührt	untouched
Wetterbericht	Weather report
verzeichnen	record
Haftstrafe	prison sentence
Aufschlag	surcharge
Protein	protein
Nordamerika	North America
Kraftwerk	power plant
vortragen	present
Splitter	Splinters
Schnüffler	snoop
Joghurt	yogurt
psychisch	mentally
nachladen	reload
nachvollziehen	comprehend
Moderator	Moderator
Tränengas	Tear gas
Stereoanlage	stereo system
motivieren	motivate
Comic	Comic
Kuwait	Kuwait
Adoption	adoption
Moos	moss
überlasten	overload
belagern	besiege
liebenswert	adorable
einreden	persuade
Säbel	saber
Chemiker	Chemist
uninteressant	uninteresting
überrascht	surprised
besaufen	get drunk
begeistern	inspire
überdrüssig	weary
Bestandteil	component
schläfrig	sleepy
optisch	optically
Fußabdruck	footprint
abführen	dissipate
absichern	to secure
rascheln	rustle
Pferderennen	horse race
wiederherstellen	restore
Zement	cement
schimpfen	rant
Gleichheit	equality
bedingen	condition
unehrlich	dishonest
Reservat	reserve
niederbrennen	burn down
stehend	standing
hervorrufen	cause
Anstellung	employment
Abteilungsleiter	Head of department
demokratisch	democratically
unverantwortlich	irresponsible
hinführen	lead there
Schub	thrust
schmieden	forge
hinschicken	send there
Unterbewusstsein	Subconscious
ungeheuerlich	monstrous
eignen	suitable
austragen	deliver
Verwandtschaft	relationship
zwangsläufig	inevitably
abhacken	chop off
trüben	tarnish
ablassen	drain
Fiktion	fiction
Kupplung	coupling
Eifer	zeal
Turnhalle	gym
Frequenz	frequency
siebzehn	seventeen
verwanzen	bug
Hasch	hash
Kapuze	Hood
Anwendung	application
Lungenkrebs	Lung cancer
grandios	terrific
Gelaber	Gelaber
absuchen	search
undenkbar	unthinkable
Teilnahme	participation
gliedern	structure
Goldmine	Gold mine
Geschlecht	gender
Gemetzel	slaughter
kugelsicher	bulletproof
Hausherr	Landlord
Jamaika	Jamaica
aufdrehen	turn up
oberhalb	above
Fläche	surface
wiedergeben	reproduce
weiterreden	keep talking
unbrauchbar	unusable
lebenslang	lifelong
rings	around
rücksichtsvoll	considerate
langen	long
Küken	chick
tags	day
belehren	teach
Statistik	statistics
fluten	flood
Buffet	Buffet
ängstigen	scared
verladen	loaded
Vorabend	eve
strahlend	radiant
spaßig	funny
überführen	convict
Enkelkind	Grandchild
durchlaufen	run through
komponieren	compose
abschleppen	tow away
Effizienz	Efficiency
schwedisch	Swedish
abschreiben	copy
verschollen	lost
parat	ready
frustrierend	frustrating
Beruhigung	Reassurance
Mietwagen	Rental car
Courage	courage
äußerlich	externally
Demokrat	democrat
Erforschung	exploration
Dichtung	poetry
problemlos	problemfree
Nahaufnahme	Close up
abspielen	play
totlachen	laugh to death
Milz	spleen
Sperrgebiet	Restricted area
unterstellen	assume
Wachposten	Sentry
verkabeln	wire up
zusammensetzen	put together
einigermaßen	to some extent
Sims	Sims
vertrauenswürdig	trustworthy
Urne	urn
verschwitzt	sweaty
Peilung	bearing
verwundbar	vulnerable
panisch	panicked
Teddybär	teddy bear
Sirup	syrup
Opium	opium
etliche	quite a few
Talisman	talisman
Investor	investor
radikal	radical
Seelenklempner	Shrinker
Vietnamese	Vietnamese
Anforderung	Requirement
sortieren	sort by
Pot	pot
Ablenkungsmanöver	Diversionary maneuvers
führend	leading
Lehrbuch	Textbook
unerfahren	inexperienced
Erstaunen	astonish
Lawine	avalanche
bunt	colorful
umfassen	include
vererben	to inherit
Buße	Buses
auspeitschen	whip
begnadigen	pardon
beehren	honor
Sketch	sketch
